quota,enrollment,students,graduate
普通本专科,7486110,26958433,7041800
专科,3432103,10828898,3298120
普通高中,8029206,23666465,7923500
中等职业教育,5933000,15990000,5336000
初中,14871663,43293684,14238679
职业初中,1395,3734,1502
普通小学,17524659,99130126,15074466
特殊教育,91521,491740,59164
学前教育,19220862,44138630,16231822
