quota,enrollment,students,graduate
普通本专科,7213987,25476999,6593671
专科,3379835,10066346,3179884
普通高中,7965960,24004723,7996189
中等职业教育,6197618,17552823,6229463
初中,14478215,43846297,14135127
职业初中,2373,7725,3221
普通小学,16584245,94510651,14766280
特殊教育,70713,394870,49032
学前教育,19877752,40507145,15271571
