quota,enrollment,students,graduate
普通本专科,7378495,26252968,6808866
专科,3484311,10486120,3222926
普通高中,7966066,23743992,7976535
中等职业教育,6012490,16567024,5678833
初中,14110242,43119500,14175941
职业初中,1773,5081,2024
普通小学,17290429,96921831,14372517
特殊教育,83314,442223,52899
学前教育,20088467,42648284,15902605
